protocol,workload,trial_id,session_setup_ms
ssh,interactive_shell,1,3542.384833
ssh,interactive_shell,2,3869.346641
ssh,interactive_shell,3,4573.520317
ssh,vim,1,3675.572818
ssh,vim,2,4970.600026
ssh,vim,3,3736.084377
ssh,nano,1,4631.382513
ssh,nano,2,3854.626167
ssh,nano,3,4086.428935
ssh3,interactive_shell,1,1758.902889
ssh3,interactive_shell,2,1657.129640
ssh3,interactive_shell,3,1808.470046
ssh3,vim,1,1764.893676
ssh3,vim,2,1952.245012
ssh3,vim,3,1768.356047
ssh3,nano,1,2539.917206
ssh3,nano,2,1718.960148
ssh3,nano,3,1677.478442
mosh,interactive_shell,1,5241.799110
mosh,interactive_shell,2,4665.115021
mosh,interactive_shell,3,4685.636098
mosh,vim,1,7656.715575
mosh,vim,2,5154.523874
mosh,vim,3,5658.434556
mosh,nano,1,4554.600865
mosh,nano,2,4829.069401
mosh,nano,3,5924.230849
